"관광타입","음식점"
"음식점명","범섬포차"
"개요","제주도 서귀포 범섬 가까이 있는 실내 퓨전포차. 깔끔한 매장과 범섬이 보이는 바다 뷰를 갖고 있답니다. 범섬돈까스는 직접 수비드 하여 부드러운 식감을 자랑하며, 문어 카르파치오는 월계수 잎과 레몬, 통후추를 넣고 오래 삶아 향과 부드러운 식감을 최고로 끌어올려 레몬 오일드레싱을 곁들인 시그니처 메뉴입니다. 그 외에도 포차에서 즐길 수 있는 안주들이 저렴한 가격으로 준비되어 있습니다. 오병이어, 한치나라가 인접해 있습니다."
"주소","제주 서귀포시 월드컵로 163"
"주소(도로명)","제주특별자치도 서귀포시 월드컵로 163"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 596-4"
"대표번호","064-738-5582"
"영업시간","17:00 - 02:00"
"휴무일","매주 월요일"
"취급메뉴","문어 카르파치오, 범섬돈까스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 특별한 메뉴가 있어요, 매장이 청결해요"
