"관광타입","음식점"
"음식점명","별돈별 정원본점"
"개요","신선한 흑돼지를 연탄불에 은은하게 구워 육즙이 가득 갇히게 하여, 제주도에서 제주스럽고 감성 터지는 장소에서 입안에 맛이 폭발하는 것을 느끼실 수 있습니다. 별돈별은 와인과 함께하면 굉장히 잘 어울리는 곳입니다. 특별한 날을 더욱 특별하게, 일상적인 날은 특별하게 만들어주는 장소입니다. 수월봉, 차귀도, 해맑음, 양어른네우영팟이 인접해 있습니다."
"주소","제주 제주시 한경면 고산로8길 21-15"
"주소(도로명)","제주특별자치도 제주시 한경면 고산로8길 21-15"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 2471"
"대표번호","064-772-5895"
"영업시간","12:00-22:00"
"휴무일","매주 수요일"
"취급메뉴","제주산 흑돼지, 제주산 백돼지"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 인테리어가 멋져요, 재료가 신선해요"
