"관광타입","음식점"
"음식점명","그래블베이커리"
"개요","24시간 저온으로 숙성된 천연 발효종으로 모든 제품을 만들고 있는 GRAVEL BAKERY 그래블 베이커리입니다. 작지만 단단한 자갈 같은 그래블 부부의 베이커리 매장이며, 묵은 반죽 없이 신선한 반죽과 재료들만 사용하고 저온으로 숙성된 천연발효종으로 모든 제품을 만들고 있습니다. 소화 잘 되는 빵, 덜 달고 자극적이지 않은 빵을 지향하며당일 생산 당일 판매를 원칙으로 AM 08시 30분부터 AM 11시 사이에 모든 빵이 구워져 나오며 하루 전 예약도 가능하십니다. 플로제, 가온채빌이 인접해 있습니다."
"주소","제주 서귀포시 신동로67번길 31"
"주소(도로명)","제주특별자치도 서귀포시 신동로67번길 31"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1458-1"
"대표번호","064-739-4169"
"영업시간","08:30 - 19:00"
"휴무일","전화문의"
"취급메뉴","까망흑임자크림빵, 그먹빵"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 매장이 청결해요, 인테리어가 멋져요, 커피가 맛있어요"
