"관광타입","음식점"
"음식점명","산포식당 성산점"
"개요","산포식당은 삶의 질을 향상시키며 먹거리 문화를 한 단계 업그레이드하는데 노력하겠습니다. 자연이 주는 순수함 그리고 편안함을 그대로 여러분께 행복한 맛의 이야기를 만들어가겠습니다. 고객 여러분께 친절한 미소를 잃지 않는 저희 산포식당이 될 것을 약속드립니다. 고객님 가정에 평화와 사랑이 넘치길 기원하겠습니다. 감사합니다. 새벽마다 직접 경매 입찰을 통해 제주산 생물 갈치만을 가지고 와서 음식을 만들고 있습니다. 제주산 생물 왕갈치를 드시고 싶으신 분은 찾아오세요. 저녁 7시 이후 방문 예정이신 고객님들께서는 미리 예약을 통해서만 이용이 가능하므로 참고 부탁드립니다. 막둥이해녀복순이네, 감귤랜드귤체험장이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 서성일로 1134"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 서성일로 1134"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 2129-1"
"대표번호","0507-1360-9217"
"영업시간","08:00-20:30"
"휴무일","매주 화요일"
"취급메뉴","전복해물뚝배기, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 매장이 청결해요"
