"관광타입","음식점"
"음식점명","스타일피그 한림협재점"
"개요","저희 스타일피그는 협재해수욕장 근처에 위치해 있으며 협재 오션 뷰와 비양도를 함께 보며 흑돼지 구이를 즐기실 수 있는 테이블 4개의 자그마한 고깃집입니다. 네이버 예약을 우선으로 하며 예약 없을 시 워크인으로 식사가 가능하십니다. 1. 1등급 제주 흑돼지를 숙성고에서 일정 시간 저온 숙성 후 제공합니다. 2. 모든 재료는 최고 품질로 엄선하여서 공수하여 제공합니다. 3. 영국 말돈 마을 염전에서 생산되며 영국 왕실에 납품되는 140년 전통의 말돈소금을 제공합니다. 4. 무형문화재 45호 장인이 제작한 안성주물팬에 팬 브로일링 하여 흑돼지 구이를 제공합니다. 5. 나이키, 아디다스 등 한정판 스니커즈, 슈프림 악세사리 등을 구경할 수 있습니다. 6. 협재해수욕장 3분 거리, 금능해수욕장 5분 거리이며 10대 이상 주차 가능한 넓은 주차장 보유하고 있습니다. 해찬미락, 이에프쿠치나 제주협재점이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 450"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 450"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1398-2"
"대표번호","0507-1489-9309"
"영업시간","12:00 - 22:00"
"휴무일","매주 목요일"
"취급메뉴","숙성 흑돼지, 흑돼지 냉동삼겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 고기 질이 좋아요, 친절해요, 주차하기 편해요"
