"관광타입","음식점"
"음식점명","고등어회전문점 우성이네"
"개요","안녕하세요. 서귀포 고등어회 전문점 우성이네입니다. 살아있는 고등어를 주문 즉시 바로 손질하는 식당이며 남녀노소 아이들까지 드실 수 있는 고등어 구이와 고등어탕수도 신메뉴로 준비하였습니다. 강력추천. 항상 싱싱하고 가성비 좋은 가격으로 제주 고등어 즐겨보세요. 기본 구성으로 고등어탕, 부침개, 조미밥, 야채소스가 나갑니다. 제주 월드컵경기장, 농협이 인접해 있습니다."
"주소","제주 서귀포시 신서로32번길 6 지1층"
"주소(도로명)","제주특별자치도 서귀포시 신서로32번길 6"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 172-10"
"대표번호","0507-1393-3693"
"영업시간","11:30 - 23:00"
"휴무일","매주 수요일"
"취급메뉴","바로잡는 고등어회, 대방어회"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 특별한 메뉴가 있어요"
