"관광타입","음식점"
"음식점명","서귀포의아침한식뷔페"
"개요","매일 아침 신선한 재료들로 만든 건강한 식사를 무한으로 즐겨보세요. 나물은 대부분 직접 재배하고 있습니다. 제주도 흙돼지에 질리셨다면 신선한 나물에 달걀 후라이 하나 얹어서 초장에 슥슥 비벼서 드셔보세요. 나물 외에도 제주산 갈치, 고등어  등 맛있는 생선요리와 아이들이 좋아하는 소시지, 제육볶음 등 매일 다른 식단으로 다양하게 준비하고 있어요. CU, 서귀포의아침아파트가 인접해 있습니다. "
"주소","제주 서귀포시 태평로 95"
"주소(도로명)","제주특별자치도 서귀포시 태평로 95"
"주소(지번주소)","제주특별자치도 서귀포시 호근동 1550-1"
"대표번호","0507-1349-7716"
"영업시간","06:00 - 15:00"
"휴무일","없음"
"취급메뉴","백반, 소주"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 혼밥하기 좋아요, 친절해요, 주차하기 편해요"
