"관광타입","음식점"
"음식점명","더비치하우스"
"개요","제주 동쪽 유명 관광지인 섭지코지, 성산 일출봉, 광치기 해변, 아쿠아 플라넷, 성산항 5분 내 거리에 위치한 오션뷰 레스토랑 앤 라운지 펍 더비치하우스입니다. 제주 로컬 푸드를 이용한 특색 있는 요리로 제주 여행 속 특별한 맛과 추억을 선사해 드립니다. 도보 1분 거리에 신양섭지해변이 위치해 있어 친구, 연인, 가족과 물놀이 후 식사하시기에도 좋으며, 트로피컬 발리 풍의 인테리어로 이색적인 공간과 요리를 맛볼 수 있습니다. 에메랄드빛 오션뷰와 함께 특별한 하루를 보내보세요. 연중무휴입니다. 강가네, 바닷가식당, 게스트하우스민이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로122번길 17 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로122번길 17"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 559-1"
"대표번호","0507-1367-7889"
"영업시간","12:00-21:00"
"휴무일","없음"
"취급메뉴","제주바당 고등어 파스타, 해산물 깔라마리"
"주차시설 유무","있음"
"리뷰키워드","인테리어가 멋져요, 음식이 맛있어요, 친절해요, 뷰가 좋아요, 매장이 청결해요"
