"관광타입","음식점"
"음식점명","빨간대게"
"개요","저희 빨간 대게에서는 친절과 정성으로 고객님께 양질의 서비스를 제공해 드리고 있습니다. 푸짐하게 드시고 제주도 서귀포 빨간 대게에서 좋은 추억을 남겨보세요. 주변에 제주도 여행코스 중 이중섭거리, 제주 매일 올래 시장, 정방폭포, 천지연폭포, 천제연폭포 등의 관광지들과도 가까우니 기분 좋은 추억을 함께 남겨보세요. 이중섭거리 , 제주 매일 올래시장 , 정방폭포 , 천지연폭포 ,천제연폭포, 화잠빌딩, 아리랑총포사가 인접해 있습니다."
"주소","제주 서귀포시 동홍로 101"
"주소(도로명)","제주특별자치도 서귀포시 동홍로 101"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 536-7"
"대표번호","0507-1378-6660"
"영업시간","12:00 - 22:30"
"휴무일","없음"
"취급메뉴","대게, 킹크랩"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 매장이 청결해요"
