"관광타입","음식점"
"음식점명","서귀정 서귀포신시가지본점"
"개요","안녕하세요. 우리 서귀정을 찾아 주셔서 정말 감사합니다. 우리 서귀정은 서귀포에서 오랜 세월 장사해오며 꾸준히 단골손님에게 사랑을 받고 있는 서귀포 최고의 도민 맛집입니다. 모든 반찬 및 장류 그 날 그 날 직접 만들고 담급니다. 크나큰 특색은 없지만 단, 하나의 차별화가 있다면 첫 방문을 하시게 되면 재방문율이 90프로 이상이 됩니다. 항상 오시는 손님 한 분 한 분 귀하게 생각하며 모시겠습니다. 감사합니다. 내비게이션에 서귀정 검색하시고 오시면 편하십니다. 큰어멍황게장, 팔광쭈꾸미가 인접해 있습니다. "
"주소","제주 서귀포시 신서로48번길 51-8 1층 서귀정"
"주소(도로명)","제주특별자치도 서귀포시 신서로48번길 51-8"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 735-9"
"대표번호","0507-1310-7358"
"영업시간","16:00 - 23:00"
"휴무일","없음"
"취급메뉴","흑돼지오겹살, 백돼지오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
