"관광타입","음식점"
"음식점명","만선식당"
"개요","안녕하세요. 제주 만선식당입니다. 제주도 최초로 고등어회를 판매한 원조 고등어회 전문점입니다. 약 16년째 한결같이 변하지 않는 맛으로 방문해주신 손님들께 정성을 다하겠습니다. 감사합니다. 주메뉴는 고등어회, 고등어조림, 고등어구이, 갈치 조림, 매운탕, 한치회 등이 있습니다. 계절 메뉴는 한치회, 한치물회, 자리회, 자리물회, 고등어회가 있습니다. 미영이네식당, 동수횟집수산이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 하모항구로 44 만선식당"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 하모항구로 44"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 770-50"
"대표번호","0507-1315-6301"
"영업시간","11:00 - 21:00"
"휴무일","매주 화요일"
"취급메뉴","고등어회, 고등어조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 주차하기 편해요"
