"관광타입","음식점"
"음식점명","감나무집"
"개요","종합경기장 사거리 인근에 자리 잡은 숯불구이 전문점입니다. 실내는 좌식, 입식 테이블, 단독방으로 마련된 널찍한 홀 구조여서 가족, 회식 등 각종 모임을 하기 좋은데요, 소양념갈비 왕갈비, 돼지양념갈비, 돼지생갈비, 소갈비찜이 대표 메뉴이며 그외에 점심메뉴로는 흑돼지불고기정식, 차돌국밥, 차돌된장찌개, 김치찌개 그리고 갈비비빔밥 등 다양한 메뉴를 갖추고 있습니다. 가야밀면, 승지건설이 인접해 있습니다."
"주소","제주 제주시 오남로 12"
"주소(도로명)","제주특별자치도 제주시 오남로 12"
"주소(지번주소)","제주특별자치도 제주시 오라일동 1074"
"대표번호","064-722-8292"
"영업시간","10:30~22:00"
"휴무일","전화문의"
"취급메뉴","돼지양념갈비, 돼지생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 매장이 넓어요, 양이 많아요"
