"관광타입","음식점"
"음식점명","불닭공장 모슬포점"
"개요","맛있게 매운 제주 대표 불닭 전문점. 대정읍 전역 배달 가능. 자세한 배달 지역은 전화문의 바랍니다. 한국인의 입맛을 사로잡은 매운맛의 진수. 화학조미료 MSG를 쓰지 않은 불닭공장만의 특제 양념소스를 이용, 직화로 구워내어 맛 뿐만 아니라 건강까지 책임지는 맛있게 매운맛.　불닭공장은 1차 100도 이상의 고온에서 삶고 2차 380도 고온에서 직화 조리되므로 건강과 맛을 보장합니다.AI 조류독감 및 외국 닭파동과 무관함을 알립니다. 상호명 변경 안내 2020년 11월부로 부가부가 부가네얼큰이 모슬포점이 불닭공장 모슬포점으로 상호명을 변경하였습니다. 2011년부터 같은 자리에서 같은 주인이 운영해온 제주 대표 불닭 전문점입니다. 늘 변함없는 고객 감동을 위하여 더 좋은 환경과 서비스로 보답하겠습니다. 많은 관심과 사랑 부탁드립니다. 감사합니다. 세상에서 제일 맛있는 불닭이 생각날 땐, 불닭공장. THE WORLDs GREATEST KOREAN BULDAK. BULDAK FACTORY. 차뜨락, 덕산낚시가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 신영로 54-1"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 신영로 54-1"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 1082-5"
"대표번호","0507-1408-9206"
"영업시간","17:00 - 01:30"
"휴무일","매주 수요일"
"취급메뉴","불닭날개, 김가루밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
