"관광타입","음식점"
"음식점명","부촌"
"개요","안녕하세요. 저희 부촌 식당은 일반 음식점에서 느낄 수 없는 깊은 맛을 자랑하며 특별한 맛으로 손님 여러분을 모시고 있습니다. 외지에서도 손님이 많이 찾아오고 있으며 오시는 분들께 맛있는 갈치조림을 제대로 대접해 드리기 위해 노력하고 있습니다. 부촌 식당에서 음식의 참 맛을 느껴보세요. 최고의 맛으로 모시겠습니다. 감사합니다. 장승포식당, 국수마을이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 동류암로 33"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 동류암로 33"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 2747-7"
"대표번호","064-784-0149"
"영업시간","10:30-21:00"
"휴무일","매주 목요일"
"취급메뉴","성게미역국정식, 갈치조림정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 혼밥하기 좋아요, 재료가 신선해요"
