"관광타입","음식점"
"음식점명","모해통갈치화덕구이"
"개요","모해통갈치화덕구이는 제주도 성산일출봉 앞에 위치한 통갈치 화덕구이, 문어 통갈치조림, 흑돼지 전문점입니다. 국내 최초로 제주 최고의 성산포 은갈치와 제주 흑돼지를 고온의 화덕에 통째로 구워내어 기존의 통갈치 구이, 문어 통갈치조림, 흑돼지와 차원이 다른 맛을 선사합니다. 제주 성산포 은갈치만을 고집하며, 최고의 요리와 최상의 서비스로 모시겠습니다. 제주에서 가족, 연인, 지인분들과 즐거운 여행 되시기 바랍니다. 성산일출봉, 카페더모해, 동백공방이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 267 모해통갈치화덕구이"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 267"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 150"
"대표번호","064-784-2024"
"영업시간","11:00-22:00"
"휴무일","매주 화요일"
"취급메뉴","문어통갈치조림, 흑돼지화덕구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 특별한 메뉴가 있어요"
