"관광타입","음식점"
"음식점명","램앤블랙 제주본점"
"개요","제주 흑돼지와 양 갈비를 참숯으로 요리하는 곳입니다. 프렌즈 jeju 책자에 소개된 곳입니다. 많은 연예인들도 방문한 조천 램앤블랙에서 즐거운 여행의 특별하고 건강한 맛을 전해드리는 곳입니다. 주인장의 오랜 숙성 노하우 단계별 온도 숙성 기법으로 제주 흑돼지와 양고기를 참숯으로 요리하며 모든 음식은 건강을 최우선으로 여기고 있습니다. 최소의 조미료와 최상의 숙성 고기로 내어 드리고 있습니다. 램앤블랙은 제주 조천에 위치한 고급 레스토랑 같은 인테리어와 공항 근처 30분 내외 위치하고 있으며 성산에서도 20분 내외 에코랜드 바로 옆자락에 위치한 힐링 푸드 요리하는 레스토랑입니다. 샘터휴양펜션, 제주교래승마장이 인접해 있습니다."
"주소","제주 제주시 조천읍 교래1길 45 램앤블랙 제주본점"
"주소(도로명)","제주특별자치도 제주시 조천읍 교래1길 45"
"주소(지번주소)","제주특별자치도 제주시 조천읍 교래리 471-3"
"대표번호","0507-1343-7576"
"영업시간","11:30-21:30"
"휴무일","매주 화요일"
"취급메뉴","프리미엄 양갈비, 프리미엄 프렌치랙"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 인테리어가 멋져요, 고기 질이 좋아요"
