"관광타입","음식점"
"음식점명","송정식당 "
"개요","서귀포 도민들이 찾는 맛집입니다. 항상 찾아주셔서 너무 감사합니다. 손님분들 한 분 한 분 제주도 여행이 좋은 추억으로 남을수있게끔 항상 신선하고 좋은 재료와 깊은 손맛으로 여러분께 대접해드리겠습니다. 한 상 가득 푸짐한 상차림으로 고객 분들의 성원에 보답하겠습니다. 변함없이 언제나 정성스러운 한 끼로 여러분의 눈과 입을 즐겁게 해드리겠습니다. 근처 관광지로는 천지연폭포, 올레시장, 외돌개, 정방폭포, 이중섭거리 등 있습니다. 삼촌네돌판구이, 목마쉼터가 인접해 있습니다. "
"주소","제주 서귀포시 중앙로41번길 16"
"주소(도로명)","제주특별자치도 서귀포시 중앙로41번길 16"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 311-8"
"대표번호","0507-1352-6363"
"영업시간","08:00 - 20:00"
"휴무일","없음"
"취급메뉴","갈치조림, 갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 가성비가 좋아요"
