"관광타입","음식점"
"음식점명","두가시의부엌"
"개요","화려하지는 않지만 맛있게, 건강하게, 정성스럽게 음식에 집중할 뿐 유행하는 트렌드에 맞추려 하지 않습니다. 대표메뉴 갈치 조림, 제주 갈치에 고사리를 넣어 더욱 맛있는 갈치 조림과 가정식으로 정성껏 만든 반찬이 곁들어져 나오는 두 가지의 부엌 단일 식사 메뉴. 흑돼지 양념구이, 제주흑돼지는 생과일을 넣어 만든 간장에 숙성시켜 특별한 맛을 주는 곁들임 메뉴. 전 메뉴 포장 가능합니다. 영육일삼, 세븐일레븐이 인접해 있습니다."
"주소","제주 서귀포시 이어도로 679 1층 두가시의 부엌"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 679"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 2637-1"
"대표번호","0507-1478-7932"
"영업시간","11:30 - 21:00"
"휴무일","매주 목요일"
"취급메뉴","갈치조림, 흑돼지양념구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
