"관광타입","음식점"
"음식점명","정직한돈 제주중문점"
"개요","중문흑돼지맛집 정직한돈은 미리 예약하시면 웨이팅 없이 명품 참나무의 숯불 직화를 즐기실 수 있습니다. 예약 및 문의는 0507 1421 0722. 중문흑돼지 전문점 정직한돈이 제주의 맛집 명소가 된 이유는 1. 체인점 거부. 요식업의 전통을 이은 가족끼리 정직하게 직영으로 운영합니다. 매일매일 공수할 수 있는 가장 좋은 식재료로 메인요리부터 반찬까지 귀한 손님께 대접한다는 마음으로 준비합니다. 2. 진짜 흑돼지의 찐 맛을 느끼실 수 있게 육즙 가득 담길 수 있게, 죄송하지만 직원이 직접 고기를 무.조.건 구워드립니다. 소중한 우리 고객님들은 사진 찍으시면서 맛과 향과 눈으로 즐기시면서 추억을 남기시기를 바라는 마음입니다. 3. 명품 참나무 숯불 직화 훈연 흑돼지 맛집이라는 거창한 수식어에 맞게 정직하게 명품 참나무로 구워드리고 은은한 숯불 향까지 기분 좋은 한상차림은 한라산 소주의 개운함까지 어우러집니다. 인위적인 불향소스를 첨가하지 않기에 자극적인 불향 맛은 아니지만 깊고 은은하게 퍼지는 참나무 숯불 직화 맛과 향은 정직한돈의 자부심입니다. 제주도에 오시면 정직한돈 중문점에 오셔서 기억 남는 한 끼 식사하고 가시기를 바랍니다. 정직한... 거기. 흑돼지 맛있던데, 거기. 다음 휴가 때 또 찾아주시는 그곳. 그곳이 여기. 정직한돈 중문점입니다. 감사합니다. 중문흑돼지맛집 중문흑돼지 전문점 정직한돈 중문점에 줄 서실 필요 없게 미리 예약 주세요. 제주중문교회, 제주조아농수산물이 인접해 있습니다."
"주소","제주 서귀포시 일주서로 827"
"주소(도로명)","제주특별자치도 서귀포시 일주서로 827"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2431-2"
"대표번호","0507-1421-0722"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","제주 훈연 흑돼지 한근, 제주 딱새우"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
