"관광타입","음식점"
"음식점명","DORIP"
"개요","예약제로 운영되는 제주 행원리에 위치한 와인바입니다. 다소 시끄럽고 느립니다. 와인과 어울리는 다섯가지 요리와 디저트가 순서대로 준비되며, 디너에는 bottle 주문이 필수입니다. 요리는 계절과 시장 상황에 따라 변동이 있을 수 있습니다. 예약 신청 후 예약금을 먼저 입금해주셔야 확정 처리 됩니다. 당일 예약 취소 및 변경은 불가하며 수수료가 발생됩니다. 콜키지 불가, 동시에 서비스가 진행이 됩니다. 다른 손님들을 위해서라도부디 시간 약속을 지켜주세요. 어등개, 아녜스의앞치마가 인접해 있습니다."
"주소","제주 제주시 구좌읍 행원로5길 33 DORIP"
"주소(도로명)","제주특별자치도 제주시 구좌읍 행원로5길 33"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 행원리 1428"
"대표번호","0507-1394-3441"
"영업시간","12:30-22:00"
"휴무일","없음"
"취급메뉴","크림브륄레, 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 날 가기 좋아요, 특별한 메뉴가 있어요, 친절해요, 인테리어가 멋져요"
