"관광타입","음식점"
"음식점명","고깃소리 더 프리미엄"
"개요","고깃소리 더 프리미엄의 모든 고기들은 농장에서부터 도축, 유통 과정까지 철저한 관리가 이루어지고 있습니다. 엄격히 선별한 90kg에서 100kg 사이의 제주 암퇘지만을 사용하여 진공 숙성, 건조 숙성, 발효 숙성까지 총 3단계의 맞춤 숙성을 거쳐 가장 맛있는 고기를 맛 보실 수 있습니다. 흑섬, 엘지통신서비스센터, 삼양해수욕장이 인접해 있습니다."
"주소","제주 제주시 서흘1길 56"
"주소(도로명)","제주특별자치도 제주시 서흘1길 56"
"주소(지번주소)","제주특별자치도 제주시 삼양일동 1925-2"
"대표번호","0507-1323-6972"
"영업시간","16:00-21:30"
"휴무일","매주 수요일, 공휴일"
"취급메뉴","1인코스, 1인 칵테일 페어링"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 날 가기 좋아요, 뷰가 좋아요, 특별한 메뉴가 있어요, 친절해요"
