"관광타입","음식점"
"음식점명","헤이브로"
"개요","1인이 운영하는 식당입니다. 예약은 두세시간 전에 부탁드립니다. 주문 준비로 가끔 전화 예약을 못 받을 때가 있어서 핸드폰 문자나 인스타그램 메시지로도 예약 문의 부탁드립니다. 사이드 메뉴 구성은 계절에 따라 바뀔 수 있습니다. 단체 예약 시 정해진 메뉴가 아닌 구성 변경이 가능합니다. 이용 시간은 평균 2시간을 기준으로 합니다. 씬스네고찌글라, 대동약국이 인접해 있습니다."
"주소","제주 제주시 애월읍 일주서로 6040"
"주소(도로명)","제주특별자치도 제주시 애월읍 일주서로 6040"
"주소(지번주소)","제주특별자치도 제주시 애월읍 곽지리 1741-2"
"대표번호","064-799-5369"
"영업시간","15:00 - 22:00"
"휴무일","없음"
"취급메뉴","양갈비 플레터, 바베큐 플레터"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 인테리어가 멋져요, 특별한 메뉴가 있어요"
