"관광타입","음식점"
"음식점명","수돈가스"
"개요","협재 수우동 직영 돈가스 전문점 협재 수돈가스 입니다. 정직한 프리미엄 제주산 흑돼지만 고집합니다. 선별된 등심과 안심을 숙성하여 매일 아침 손질합니다. 등심 중에서도 상등심, 등심입니다. 흑돼지 안심은 시그니처입니다. 진하게 끓여 내는 수제 카레와 치즈 멘치가스, 부드러운 닭 안심, 계절 메뉴 냉모밀과 온모밀이 있습니다. 협재쌀롱드, 제주도게스트하우스협재정류장이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 393"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 393"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1631"
"대표번호","064-796-7042"
"영업시간","10:00 - 19:00"
"휴무일","매주 목요일"
"취급메뉴","등심돈가스, 안심돈가스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 특별한 메뉴가 있어요"
