"관광타입","음식점"
"음식점명","이에프쿠치나 제주협재점"
"개요","협재해수욕장 인근 올레 14길 앞에 위치한 레스토랑 이에프 쿠치나입니다. 스페인 음식 전문 오너 쉐프와 화덕피자 전문 오너 쉐프 두 명이 만들어가는 레스토랑입니다. 항상 신선한 재료와 맛있는 음식으로 만족스러운 식사를 제공하기 위해 노력 중이며 전 좌석 창가석으로 노을이 지는 비양도와 올레 14길의 풍경을 바라보며 식사를 하실 수 있는 협재의 레스토랑입니다. 이에프쿠치나의 새로운 메뉴와 일상이 궁금하시다면 인스타를 방문 해서 지켜봐 주시길 바랍니다. 해찬미락, 옹포횟집이 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 450"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 450"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1398-2"
"대표번호","0507-1395-4232"
"영업시간","12:00 - 21:30"
"휴무일","매주 수요일"
"취급메뉴","제주 황게 파스타, 스페니쉬 빠에야"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요"
