"관광타입","음식점"
"음식점명","요망지게 제주협재본점"
"개요","제주도 향토 음식의 정석을 보여드리겠습니다. 해녀이신 어머니께서 직접 비양도에서 잡은 해산물과 신선한 재료들을 엄선하여 요리합니다. 뷰가 좋은 한림 맛집입니다. 통창으로 되어 있어 오션 뷰를 만끽할 수 있습니다. 깔끔한 인테리어와 넓은 테이블 간격으로 프라이빗 한 경험을 제공합니다. 단체도 환영합니다. 고객 편의를 위해 배달도 시작하였습니다. 맛있게 준비 드리겠습니다. 감사합니다. 료리야, 단소바가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림해안로 456"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림해안로 456"
"주소(지번주소)","제주특별자치도 제주시 한림읍 수원리 253"
"대표번호","064-796-8853"
"영업시간","09:00 - 21:00"
"휴무일","없음"
"취급메뉴","전복죽, 성게전복비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 매장이 청결해요"
