"관광타입","음식점"
"음식점명","제주애월리에"
"개요","2021년 스포츠 서울 고객 신뢰도 만족 대상, 2022년 KCIA 한국 소비자 평가 외식업 부문 우수상을 시상한 제주 향토 퓨전 양식 제주 애월 대표 맛집 애월리에입니다. 넓고 고급스러운 분위기 속에서 여유로운 식사를 즐기세요. 품격 있는 공간에서 부담 없이 즐길 수 있는 제주에월리에입니다. 제주 미식을 선사합니다. 애월리에는 모든 메뉴에 제주도 현지 재료로 클래식한 고품격 음식을 제공하고 연인, 가족, 친구 다양하게 최고의 맛과 서비스를 즐기실 수 있도록 노력하고 있습니다. 까메까메까망이, 회뜨는집이 인접해 있습니다."
"주소","제주 제주시 애월읍 엄수로 8-11"
"주소(도로명)","제주특별자치도 제주시 애월읍 엄수로 8-11"
"주소(지번주소)","제주특별자치도 제주시 애월읍 구엄리 912-2"
"대표번호","0507-1346-7623"
"영업시간","11:00 - 21:00"
"휴무일","셋째 수요일"
"취급메뉴","한우채끝 등심 스테이크, 제주 흑돼지등심 커틀렛"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요"
