"관광타입","음식점"
"음식점명","카페 이피엘 레스토랑"
"개요","GARDEN LOVE YOU. 최고의 로스터와 바리스타가 함께 개발한 EPL만의 독자적인 로스팅 원두와 제과제빵기능장의 당일 반죽, 당일 생산, 당일 판매의 3원칙을 고집스럽게 지키는 베이커리, 디저트 직접 재배하는 허브와 수제 조미료로 맛을 내고 제주의 원료를 이용하여 꾸며지는 레스토랑이 함께 하는 이곳은 EAT먹고, PLAY즐기며, LOVE사랑하는 서귀포카페 GARDEN EPL입니다. 사시사철 매장의 외, 내부의 식물과 꽃이 따뜻하게 어우러지며사랑하는 연인, 가족, 친구, 소중한 사람들과 맛있는 음식을 드시고 힐링하며 즐거운 추억을 새기길 바라는 마음으로 만든 공간입니다. 사람들은 왜 집에 식물을 키울까요? 사람들은 왜 길에 나무를 심을까요? 사람들은 왜 축하할 때 꽃을 선물할까요? 그것은 사람들의 마음속에늘 푸른 숲이 있기 때문입니다. 사람들은 자연으로부터 마음의 위로와 치유를 받고싶기에 사람들은 늘 숲을 사랑해 왔습니다. 이제는 숲이,가든 이피엘이 지쳐있는 사람들을 사랑하겠습니다. 가든이 당신을 사랑하기 시작했다. 바굥식당, 위미 1리사무소가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 위미항구로 8 카페이피엘 레스토랑"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 위미항구로 8"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 위미리 3166-1"
"대표번호","0507-1337-4022"
"영업시간","10:00 - 15:00"
"휴무일","매주 월요일, 화요일, 수요일, 목요일, 금요일, 토요일"
"취급메뉴","아메리카노, 카푸치노"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 재료가 신선해요, 친절해요"
