"관광타입","음식점"
"음식점명","비자블라썸"
"개요","비자블라썸은 가족들이 편하게 즐기실 수 있는 브런치 앤 음료가 있고 아이들이 뛰어놀기 좋은 정원이 있습니다. 계절에 따라서 다양한 꽃과 식물들을 심어서 사계절 다른 느낌이 있는 비자림 옆 브런치 카페입니다. 지친 도심 생활을 잠시 잊고, 비자림 숲속을 거닐고 비자블라썸에서 여유 있는 브런치 앤 커피를 즐기세요. 지니민박, 비자림민박펜션이 인접해 있습니다."
"주소","제주 제주시 구좌읍 비자림로 2244"
"주소(도로명)","제주특별자치도 제주시 구좌읍 비자림로 2244"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 평대리 3210-4"
"대표번호","0507-1341-3885"
"영업시간","10:00 - 18:00"
"휴무일","매주 일요일"
"취급메뉴","당근주스, 젤라또아이스크림"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 음식이 맛있어요, 친절해요, 인테리어가 멋져요, 매장이 청결해요"
