"관광타입","음식점"
"음식점명","흑돈 시범이네 접짝뼈국"
"개요","제주도를 대표하는 흑돼지, 저희 흑돈시범이네에서는 특별한 흑오겹살부터 흑돼지 양념갈비까지 다양한 흑돼지 고기를 즐길 수 있습니다. 신제주맛집으로 현지인들이 인정하는 흑돼지 맛집으로 단골고객들이 많습니다. 주차공간도 넉넉하고, 단체모임으로도 손색이 없으며, 육지에서 온 손님분들이 한번만 방문하신 분은 없으실 정도로 맛있다는 평을 받습니다. 앞으로도 손님분들께 맛있는 흑돼지로 보답하겠습니다. 감사합니다. 중흥 S클래스 아파트, 진도새기, 맘스터치가 인접해 있습니다."
"주소","제주 제주시 광평동로 65 흑돈 시범이네"
"주소(도로명)","제주특별자치도 제주시 광평동로 65"
"주소(지번주소)","제주특별자치도 제주시 노형동 2882-1"
"대표번호","0507-1357-7057"
"영업시간","10:00~22:00"
"휴무일","없음"
"취급메뉴","흑오겹살, 흑목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 가성비가 좋아요, 주차하기 편해요"
