"관광타입","음식점"
"음식점명","중문흑돼지천국"
"개요","제주 지역방송 및 각종 방송 미디어 프로그램에서 조명한 흑돼지 무한리필 맛집. 미스트롯 출연진들이 방문하며 더더욱 주목받게 된 맛집으로, 미스트롯 흑돼지라고도 불린다. 초벌구이 되어 훈연과 육즙이 살아있는 고기는 무한리필 집은 퀄리티가 낮다는 편견을 대번에 깨 주는 역할을 하기도 한다. 주변에 제주 신라호텔, 제주 롯데호텔, 중문관광단지, 히든클리프 등 주요 핫플레이스들과 숙박업소들이 가깝기 때문에 둘러보기에도 좋고, 테디베어뮤지엄과 신화월드 등도 근처 거리기 때문에 여행코스로도 안성맞춤. 대화공인중개사사무소, 돈하루가 인접해 있습니다."
"주소","제주 서귀포시 천제연로 107 중문흑돼지천국"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 107"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2480-4"
"대표번호","0507-1419-3478"
"영업시간","15:00 - 22:00"
"휴무일","매주 화요일"
"취급메뉴","제주흑돼지 두루치기, 무한리필"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 친절해요, 매장이 넓어요"
