"관광타입","음식점"
"음식점명","하도작은식당"
"개요","서양 음식을 주메뉴로 하고 예약제로 운영되는 작은 식당입니다. 식당의 규모와 원활한 음식 서비스를 위해 최대 4인까지 받고 있으니 이점 양해 부탁드려요. 주차 공간이 협소해요. 식당에서 도보로 5분 거리에 있는 철새 도래지 공터 물가 쪽에 해주시면 감사하겠습니다. 매주 월, 화, 수요일 휴무입니다. 프라비타, 해녀윤자네가 인접해 있습니다."
"주소","제주 제주시 구좌읍 하도13길 62-9"
"주소(도로명)","제주특별자치도 제주시 구좌읍 하도13길 62-9"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 하도리 947-10"
"대표번호","0507-1348-3213"
"영업시간","12:00 - 20:00"
"휴무일","매주 월요일, 화요일, 수요일"
"취급메뉴","클래식라자냐, 전복내장소스 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 청결해요, 재료가 신선해요, 인테리어가 멋져요"
