"관광타입","음식점"
"음식점명","찰리스"
"개요","먹을수록 건강해지는 찰리스의 요리 입니다. 안녕하세요. 찰리스의 총괄쉐프 찰리입니다. 찰리스의 모든 음식은 먹는 것 만으로도 건강해집니다. 첫 번째, 유전자 변형제품 GMO, 인공색소, 인공조미료 MSG가 들어간 재료를 사용하지 않습니다. 건강한 음식 문화를 추구하고자 현지에서 나고 자란 채소와 신선한 재료, 천연 조미료만을 사용하고 있습니다. 두 번째, 깊은 맛의 육수와 소스 맛을 위해 매일 정성을 다해 직접 장시간 끓여내고 있습니다. 제공되는 모든 빵은 유기농 밀가루와 유기농 설탕으로 직접 만들며 음식에 들어가는 소금 또한 손님들의 나트륨 섭취량을 고려해 천일염으로 직접 구운 소금을 사용합니다. 세 번째, 재료의 상성과 궁합을 연구합니다. 재료의 궁합은 건강을 위해 정말 중요하기에 재료의 상성에 대해 공부하고 연구합니다. 단순히 맛이 좋다 해서 좋지 않은 상성의 음식을 내어드리지 않습니다. 늘 건강한 음식을 약속합니다. 지금과 같은 건강하게 맛있는 음식을 내어드리기 위해 10년이 넘는 시간 동안 일해온 많은 레스토랑의 사장님들과 싸우기도 했습니다. 총괄쉐프로써 스스로에게 부끄럽지 않도록 믿고 드실 수 있는 맛있고 건강한 요리를 제공해드리겠습니다. 그날의 식재료에 따라 맛이 조금씩 다를 수 있지만 제 음식을 드시고 건강해짐을 느끼시고 행복하실 수 있다면 재료비가 더 들고 조리 공정이 몇 배 더 소요되더라도 최선을 다해 요리하겠습니다. 제주 맛집 찰리스를 찾아주셔서 감사합니다. 박수기정과 논짓물, 난드르올레 펜션, 예래미반이 인접해 있습니다."
"주소","제주 서귀포시 예래로 454 찰리스"
"주소(도로명)","제주특별자치도 서귀포시 예래로 454"
"주소(지번주소)","제주특별자치도 서귀포시 하예동 1830-7"
"대표번호","0507-1308-4531"
"영업시간","11:00 - 20:00"
"휴무일","매주 월요일, 일요일"
"취급메뉴","갈치파스타, 돼지스테이크"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 특별한 날 가기 좋아요"
