"관광타입","음식점"
"음식점명","숙성도 애월점"
"개요","돼지의 정점, 대한민국 숙성 돼지의 원조 숙성도, 애월 숙성도 직영점입니다. 프리미엄 숙성도 애월 직영점은 뼈대 있는 맛이라는 특별함으로 찾아뵙고 있습니다. 어디에도 없는 등삼뼈갈비, 대갈비, 석대뼈갈비 등의 메뉴로 숙성 돼지 뼈대의 참맛을 유일하게 맛보실 수 있습니다. SADDLER HAUS 제주애월점, 제주 반딧불한담 애월점이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월로1길 24-16"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월로1길 24-16"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 2527-4"
"대표번호","064-799-4231"
"영업시간","12:00 - 21:30"
"휴무일","없음"
"취급메뉴","등삼뼈갈비, 숙성삼겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 매장이 청결해요"
