"관광타입","음식점"
"음식점명","몸냥식탁"
"개요","제주 프리미엄 흑돼지로 만든 몸냥카츠는 제주 자연산 생선으로 만든 바당카츠 그리고 별미 우동입니다. 신선한 제주 식자재와 맛있는 요리로 몸냥식탁 돈까스에 사용되는 고기는 제주산 프리미엄 돼지고기로 저온숙성하여 사용합니다. 몸냥이란 마음대로라는 뜻의 제주 방언입니다. 몸냥식탁에는 부드러운 안심, 고소한 등심으로 이루어진 몸냥카츠, 당일의 신선한 해산물을 사용한 바당카츠, 크림우동, 해물우동 등의 메뉴가 있습니다. 항상 맛있는 음식을 고객분들에게 대접하고자 노력하는 몸냥식탁이 되겠습니다. 몸냥식탁과 함께 제주의 맛을 느껴보세요. 1층 몸냥식탁에서 식사하시고 당일 영수증 제시시, 2층 제이문커피에서 디저트를 포함하여 커피 및 음료 10퍼센트 할인 서비스를 제공합니다. 신협, 중문우체국이 인접해 있습니다."
"주소","제주 서귀포시 천제연로 172-3 1층"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 172-3"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2117-5"
"대표번호","064-738-1723"
"영업시간","11:00 - 20:30"
"휴무일","매주 일요일"
"취급메뉴","몸냥카츠, 크림우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 청결해요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요"
