"관광타입","음식점"
"음식점명","몬스터살롱"
"개요","즐거운 여행 식도락 여행 제주 애월 맛집 몬스터살롱과 함께 하세요. 제주 애월 수제버거 몬스터살롱 대표 메뉴입니다. 1. 육즙 좔좔 제주한우로 만든 몬스터버거입니다. 2. 제주 흑돼지를 13시간 훈연하여 만든 풀드포크버거입니다. 2. 스페인 정통 즉석에서 만드는 몬스터 츄러스입니다. 3. 한라봉과 유자의 콜라보레이션 봉자쥬스입니다. 각 메뉴는 단품 및 세트 구성이 있으니 메뉴를 확인하고 주문해 주세요. 몬스터살롱과 즐거운 여행 되세요. 황금가마솥밥, CU 제주곽지교차로점이 인접해 있습니다."
"주소","제주 제주시 애월읍 일주서로 6017 "
"주소(도로명)","제주특별자치도 제주시 애월읍 일주서로 6017"
"주소(지번주소)","제주특별자치도 제주시 애월읍 곽지리 1669-1"
"대표번호","0507-1414-5310"
"영업시간","10:00 - 19:00"
"휴무일","전화문의"
"취급메뉴","몬스터제주한우버거, 제주흑돼지풀드포크버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 양이 많아요"
