"관광타입","음식점"
"음식점명","7번가피자 제주삼화점"
"개요","근본이 다른 7번가피자 입니다. 1. 첫번째 비밀은 십여가지 곡물도우 입니다. 국내최초 완전 밀봉 방식의 3단계 저온숙성 도우 입니다. 2. 두번째 비밀은 보라색 곡물도우의 마법 입니다. 기계가 아닌 손으로 만드는 전통방식 고수 합니다. 3. 세번째 비밀은 뉴질랜드산 천일염! 도우 반죽에 사용되는 소금도 깨끗한 뉴질랜드산 천일염 사용합니다. 삼양지구대, 감동까스, 부가네얼큰이가 인접해 있습니다."
"주소","제주 제주시 일주동로 394 1층 7번가피자"
"주소(도로명)","제주특별자치도 제주시 일주동로 394"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2181-36"
"대표번호","064-721-7757"
"영업시간","12:00~22:30"
"휴무일","없음"
"취급메뉴","새우파티, 체다골드포테이토"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
