"관광타입","음식점"
"음식점명","원작"
"개요","제주 원작은 제주의 생산자와 소비자의 이동거리를 최대한 줄임으로써 제주 어민, 농민과 고객에게 이익이 돌아감을 뜻하는 제주산 로컬 푸드의 사용을 지향합니다. 제주도 서쪽의 작은 마을 서귀포 대정읍 구억리에서 진심을 담아 요리하고, 정성을 다해 고객들을 맞이합니다. 소중한 분들과 뜻깊고, 특별한 식사 시간이 되실 수 있도록 최선의 노력을 다하겠습니다. 카멜리아의원, 초록마을이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 영어도시로 56 2층"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 영어도시로 56"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 구억리 1007-1"
"대표번호","0507-1399-1291"
"영업시간","11:00 - 20:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","전복마늘버터를 곁들인 보리와플, 연유자몽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
