"관광타입","음식점"
"음식점명","연미정"
"개요","제주 구좌읍 세화리에 위치한 전복요리 맛집입니다. 전복 돌솥밥, 전복죽, 전복 회, 전복구이 등 전복을 맛있게 요리하여 준비하고 있습니다. 고등어구이와 호박전 등을 기본찬으로 서비스 드리고 있습니다. 세화에서 가장 푸짐한 상차림에 가격까지 합리적인 가성비 맛집입니다. 최선을 다하여 손님들에게 기분 좋은 하루가 되도록 노력하겠습니다. 청파식당횟집, 카페봄봄 제주세화점이 인접해 있습니다."
"주소","제주 제주시 구좌읍 세평항로 14"
"주소(도로명)","제주특별자치도 제주시 구좌읍 세평항로 14"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 3648-4"
"대표번호","0507-1361-8856"
"영업시간","09:00 - 21:00"
"휴무일","첫째, 셋째 수요일"
"취급메뉴","전복 돌솥밥, 전복죽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 넓어요, 재료가 신선해요, 양이 많아요"
