"관광타입","음식점"
"음식점명","카페지니"
"개요","서귀포시 공천포에 위치한 베이커리 카페입니다. 제주 여성 1호 제과 기능장이 오너 쉐프로 있는 베이커리 카페입니다. 모든 빵은 천연발효종으로 72시간 저온 숙성으로 발효되어 제공됩니다. 친구들, 연인들, 가족들, 모든 연령이 오셔도 드실 수 있는 다양한 베이커리와 수제 음료를 제공합니다. 모든 제품은 빵, 쿠키, 청, 소스 등 수제로 제작하여 판매합니다. 주차 공간은 매우 넓으며, 버스 정거장과 50m 거리입니다. 위미와 쇠소깍 사이에 위치하고 있습니다. 공천포버스정거장, 감귤칠성공장이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 공천포로11번길 19"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 공천포로11번길 19"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 신례리 85-3"
"대표번호","064-733-6798"
"영업시간","10:00 - 22:00"
"휴무일","매주 월요일"
"취급메뉴","공천포에이드, 오렌지파운드"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 친절해요, 뷰가 좋아요, 커피가 맛있어요, 매장이 청결해요"
