"관광타입","음식점"
"음식점명","육거리식당"
"개요","한자리에서 운영한지 20년이 넘은 알만한 사람들은 다 아는 제주도민이 추천하는 로컬 맛집입니다. 전체 메뉴에 나가는 야채, 반찬들은 텃밭에서 직접 키운 유기농 야채로 만든 수제반찬입니다. 항상 건강하고 신선한 재료로 우리 가족이 먹는다 생각하며 만들겠습니다. 100퍼센트 순수 제주도에서 자란 건강한 황소, 흑돼지만 선별하여 제공합니다. 항상 건강하고 신선한 재료로 최고의 품질과 서비스 제공하겠습니다. 고산농협, 씨유 제주고산점이 인접해 있습니다."
"주소","제주 제주시 한경면 용고로 85"
"주소(도로명)","제주특별자치도 제주시 한경면 용고로 85"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 2822-6"
"대표번호","0507-1476-5595"
"영업시간","10:00-22:00"
"휴무일","매주 월요일"
"취급메뉴","흑돼지오겹살, 흑돼지김치전골"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
