"관광타입","음식점"
"음식점명","파파일일"
"개요","제주의 풍미를 가득 담은맞춤 도시락 전문점제주파파일일입니다. 시그니쳐 메뉴인 멘보샤와 무스비의 만남은 정말 휴양지에서만 느낄수 있는 메뉴입니다. 매장에서 판매되는 제품은 최상의 신선도와 맛을 유지하기 위해 당일생산, 당일판매를 원칙으로 하며, 앞으로도 고객님들의 관심과 사랑을 보답하기 위해 더 좋은 맛과 서비스를 제공드릴 것을 약속드리며 건강화 행복 그리고 추억을 전하는 매장이 되겠습니다. 제주도에 방문하셔서 인스턴트 음식들에게 지친 몸을 리플래쉬하게 하고 싶다면 수제도시락 맛집 저희 매장에 방문해보시는 건 어떠실까요. 파파일일의 도시락은 예약 주문제 입니다. 제주여상정류장, 성일상회가 인접해 있습니다."
"주소","제주 제주시 동대북길 11 1층"
"주소(도로명)","제주특별자치도 제주시 동대북길 11"
"주소(지번주소)","제주특별자치도 제주시 건입동 1036-7"
"대표번호","0507-1363-0644"
"영업시간","11:00-19:00"
"휴무일","매주 일요일, 월요일"
"취급메뉴","파파무스비, 찹스테이크"
"주차시설 유무","있음"
"리뷰키워드","재료가 신선해요, 친절해요, 가성비가 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요"
