"관광타입","음식점"
"음식점명","구르메스시오마카세 "
"개요","서귀포 신시가지에 위치하였으며, 최상급의 식재료로 요리한 고급 일식 요리를 다찌 및 룸에서 이용하실 수 있습니다. 파라다이스호텔 본점 및 청담 하이앤드출신 23년차 서재훈 쉐프가 총괄하고 있으며, 구르메스시 대표 메뉴는 북해도산 최상급 우니 성게알, 제주다금바리, 제주제철생선, 제주고등어, 숙성 마구로 참치 등으로 구성된 오마카세코스가 유명합니다. 스페셜한 맛과 만족스런 서비스로 운영되는 하이엔드 일식 레스토랑에서 미식의 향연을 느껴 보실 수 있습니다. 산석쇠불고기, 막창꾸우맨이 인접해 있습니다. "
"주소","제주 서귀포시 신서로48번길 59 구르메스시"
"주소(도로명)","제주특별자치도 서귀포시 신서로48번길 59"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1469-5"
"대표번호","064-738-4123"
"영업시간","12:00 - 21:30"
"휴무일","매주 수요일 "
"취급메뉴","런치 오마카세, 디너 오마카세"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 특별한 날 가기 좋아요"
