"관광타입","음식점"
"음식점명","키치니토키친"
"개요","키치니토 키친은 2017년 부산 해운대에서 처음 시작된 작은 브런치 레스토랑입니다. 매장에서 직접 훈연한 수제 베이컨을 기반으로 여러 브런치 메뉴를 선보이고 있으며, 현재는 부산과 제주 두 곳의 직영 매장을 운영하고 있습니다. 스타일에 치중하여 빨리 사랑받는 브랜드가 되기 보다는, 오랜 시간 조금씩 발전하며 소비자와 함께 성장해 나갈 수 있는 브랜드가 되길 소망합니다. Everything is slightly better. 키치니토의 모든 것이 조금 더 나은 모습이길 원합니다. 남들과의 비교나 경쟁에 대한 이야기가 아닙니다. 어제보다 조금 더 나은 나, 조금 더 나은 오늘에 관한 이야기, 그리고 더 나은 당신의 오늘을 위한 우리의 이야기 입니다. 카페 제주 여기쯤, 송당조경농원이 인접해 있습니다."
"주소","제주 제주시 구좌읍 송당5길 18"
"주소(도로명)","제주특별자치도 제주시 구좌읍 송당5길 18"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 송당리 1387-17"
"대표번호","0507-1336-0586"
"영업시간","10:00 - 15:30"
"휴무일","전화문의"
"취급메뉴","베이컨 라이스 플레이트, 베이컨 브런치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 매장이 청결해요"
