"관광타입","음식점"
"음식점명","애월연어"
"개요","아워 하우스 애월연어 우리집에 찾아오신 귀한 손님을 모시듯 대접하고 싶은 퓨전 레스토랑 애월연어는 연어 전문 셰프와 함께 제주에서 가장 핫한 지역인 애월의 어느 언덕 위 집 전체를 리모델링 해 만들어졌습니다. 애월연어는 제주도 하면 너무도 뻔한 흑돼지와 딱새우가 아닌 미국 타임지가 선정한 세계 10대 슈퍼 푸드 중 유일한 물고기인 연어를 기본으로 다양한 요리를 경험할 수 있는 패밀리 레스토랑입니다. 제주도에 이런 음식점 한, 두 개 꼭 필요하다는 확신으로 맛있고 건강하게 만들었습니다. 행복한 여행, 행복한 하루에 작은 기쁨이 되기를 바랍니다. 더육축산유통, 애월의언덕이 인접해 있습니다."
"주소","제주 제주시 애월읍 하소로 660"
"주소(도로명)","제주특별자치도 제주시 애월읍 하소로 660"
"주소(지번주소)","제주특별자치도 제주시 애월읍 유수암리 2709-1"
"대표번호","0507-1467-5301"
"영업시간","11:00 - 21:00"
"휴무일","매주 일요일"
"취급메뉴","그린 오일 파스타, 크림 연어 스테이크"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
