"관광타입","음식점"
"음식점명","불특정식당"
"개요","불특정식당은 테이스팅 코스로 진행합니다. 와인바 디너 1타임, 식사 코스 런치 2타임이 있습니다. 디너는 5가지 요리 및 안주가 나옵니다. 런치 테이스팅 코스는 불특정이 정한 그날의 여러 가지 요리가 나옵니다. 당일 준비된 요리들과 어울리는 여러 종류의 바틀 와인이 준비되어 있습니다. 주류는 반입불가입니다. 단 와인만 한 병 주문 후 콜키지 가능합니다. 어린아이 동반은 불가입니다. 당일 취소 불가입니다. 당일 취소 시 일부 금액이 청구됩니다. 대리운전과 콜택시 가능합니다. 예약은 네이버 예약과 캐치 테이블에서 가능합니다. 대한예수교장로회삼달교회, 팜트리하우스가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 삼달로 239"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 삼달로 239"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 삼달리 1164-3"
"대표번호","010-4269-0886"
"영업시간","12:00-22:00"
"휴무일","없음"
"취급메뉴","와인, 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 날 가기 좋아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요"
