"관광타입","음식점"
"음식점명","만배성"
"개요","한정식 코스요리는 사전 예약 가능합니다. 아라동에 자리 잡은 만배성 한정식 전문점입니다. 바쁜 일상에 치여 놓치고 있었던 행복한 시간을 보내기 위한 고객님에게 힐링이 되는 것은 맛있는 음식과 따뜻한 정성이라 생각합니다. 만배의 정성과 어머니와 같은 따뜻함으로 친절하게 모시겠습니다. 만배성 한정식에서는 죽, 냉채, 생선회, 갈비찜, 옥돔구이, 된장뚝배기, 갈치조림 등 가격에 따라서 십여 가지부터 스무 가지 이상의 요리로 다채롭게 구성한 한정식 메뉴를 선보이고 있습니다. 점심에는 상대적으로 저렴한 가격에 즐길 수 있는 특선과 단품 식사 메뉴도 만날 수 있습니다. 탐라맛고을, 금하갈비가 인접해 있습니다."
"주소","제주 제주시 아연로 484-9"
"주소(도로명)","제주특별자치도 제주시 아연로 484-9"
"주소(지번주소)","제주특별자치도 제주시 아라일동 2889-2"
"대표번호","064-712-6800"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","갈비찜, 수육"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 단체모임 하기 좋아요"
