"관광타입","음식점"
"음식점명","만감교차 성산"
"개요","저희 카페는 제주 섭지코지 힙트로카페입니다. 호주 스페셜티 원두 듁스 커피 원두를 사용하고 있습니다. 시즌별로 바뀌는 핸드드립 스페셜티와 듁스 커피 블랜드 커피를 드실 수 있습니다. 그리고 저희 카페의 아이덴티티인 만감류를 이용한 음료도 준비되어 판매하고 있습니다. 근처 관광지로는 성산일출봉, 제주 섭지코지, 우도, 혼인지 등이 있습니다. 저희 만감교차는 애견 동반 가능합니다. 펫 케어존, 키즈 케어존입니다. 코로나 조심하세요. 모두들 파이팅 힘내세요. 창도슈퍼, 제주바이브가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 환해장성로 950"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 환해장성로 950"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 571"
"대표번호","010-2815-5697"
"영업시간","10:00-21:00"
"휴무일","공휴일"
"취급메뉴","몽귤주스, 만감에이드"
"주차시설 유무","있음"
"리뷰키워드","인테리어가 멋져요, 사진이 잘 나와요, 음료가 맛있어요, 커피가 맛있어요, 컨셉이 독특해요"
