"관광타입","음식점"
"음식점명","2093하우스"
"개요","메인메뉴 흑돼지 수제 돈가스 정식은 튀김옷은 바삭하고 두툼한 고기는 100퍼센트 제주산 흑돼지로 촉촉하고 부드럽습니다. 소스는 제주 한라봉으로 만든 특제소스이니 제주스러운 돈가스 드시러 오세요. 아침식사 가능합니다. 항상 행복하시고 제주 2093하우스 오셔서 행복한 식사하시고 쉬었다 가세요. 제주돌문화공원, 에코랜드테마파크, 1950와이너리리조트펜션이 인접해 있습니다."
"주소","제주 제주시 조천읍 남조로 2093"
"주소(도로명)","제주특별자치도 제주시 조천읍 남조로 2093"
"주소(지번주소)","제주특별자치도 제주시 조천읍 교래리 786-21"
"대표번호","070-8833-2093"
"영업시간","09:00-17:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지 수제 돈까스, 성게 미역국"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 친절해요, 재료가 신선해요, 양이 많아요"
