"관광타입","음식점"
"음식점명","제주공상"
"개요","제주공항, 동문시장 근처 탑동광장에 위치한 제주돼지 숯불구이 전문점 제주공상은제주 흑돼지 맛집 흑본오겹을 운영하며 쌓은 경험을 바탕으로 더욱 색다른 메뉴와 다양한 주류를 최고의 분위기에서 즐기실 수 있도록 새롭게 선보이는 차별화된 프리미엄 고깃집 브랜드입니다. 함께 맛보고 나누고 즐긴다는 슬로건처럼 찾아주시는 손님들과 함께 나누고 즐기는 고깃집 공상이 되고자 합니다. 대진횟집1호점, 우정횟집이 인접해 있습니다."
"주소","제주 제주시 서부두길 18 제주공상"
"주소(도로명)","제주특별자치도 제주시 서부두길 18"
"주소(지번주소)","제주특별자치도 제주시 건입동 1319-89"
"대표번호","0507-1402-0231"
"영업시간","14:00-23:00"
"휴무일","전화문의"
"취급메뉴","제주등겹살, 제주생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 인테리어가 멋져요"
