"관광타입","음식점"
"음식점명","금능포구횟집"
"개요","주인장의 코멘트입니다. 1. 물회는 2인 이상 주문 가능합니다. 주문한 인분으로 양푼에 푸짐하게 물회가 담겨 나옵니다. 2. 계절별로 메뉴가 유동적입니다. 하절기에는 매운탕을 하지 않습니다. 또한, 제철 어종에 따라 당일 활어 물회는 불가할 수 있으니 미리 전화로 문의 부탁드립니다. 저희 금능포구횟집을 찾아주셔서 감사합니다. 손님분들의 만족스러운 식사 시간이 될 수 있도록 항상 청결하고 정직하게 보답하겠습니다. 코지하우스, 앙작시 프로젝트가 인접해 있습니다."
"주소","제주 제주시 한림읍 금능9길 27"
"주소(도로명)","제주특별자치도 제주시 한림읍 금능9길 27"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1493-6"
"대표번호","064-796-9006"
"영업시간","09:00 - 17:00"
"휴무일","없음"
"취급메뉴","활한치물회, 자리물회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 주차하기 편해요"
