"관광타입","음식점"
"음식점명","참숯구이몬트락"
"개요","제주특별자치도에서 인증한 100퍼센트 제주 돼지고기 인증점입니다. 도민들도 즐겨 찾는 제주맛집 숯불구이 몬트락은 전국 어디에서나 제주 본연의 맛을 느낄 수 있는, 소비자가 믿고 먹을 수 있는 제주 돼지고기 전문점입니다. 몬트락은 청정환경과 제주의 맑은 공기가 있으며 단일 농장 환경친화 축산 농장에서 사육한 돈육으로 우리가족의 안전한 먹거리를 최우선으로 책임지는 프리미엄브랜드입니다. 옥수사, 탑고향이 인접해 있습니다."
"주소","제주 제주시 임항로 20"
"주소(도로명)","제주특별자치도 제주시 임항로 20"
"주소(지번주소)","제주특별자치도 제주시 건입동 1388-3"
"대표번호","064-757-2300"
"영업시간","15:00-23:00"
"휴무일","매주 일요일"
"취급메뉴","제주흑돼지오겹살, 된장찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 매장이 청결해요"
