"관광타입","음식점"
"음식점명","회심"
"개요","테이블링 어플이용하여 원격줄서기 가능합니다. 네이버플레이스 공지사항과 소식을 확인해주세요. 재료특성상 조기마감될 수 있습니다. 저희 회심은 제주산 식재료를 이용하여 기본 베이스가 되는 쯔유부터 대부분의 재료 하나하나를 직접 만듭니다. 메뉴 가짓수가 적지만 그만큼 정성 들여 만들고 있어요. 그리고 자극적이지 않으면서 재료 본연 맛들의 조화를 이루도록 노력하고 있습니다. 맛보러 와주신 분들께 감사드리며 매일 저희가 추구하는 음식을 위해 최선을 다하겠습니다. 신성여자중학교, 신성여자고등학교가 인접해 있습니다."
"주소","제주 제주시 아봉로 200"
"주소(도로명)","제주특별자치도 제주시 아봉로 200"
"주소(지번주소)","제주특별자치도 제주시 영평동 2458-19"
"대표번호","064-757-0729"
"영업시간","11:00~17:00"
"휴무일","매주 수요일"
"취급메뉴","고등어참깨소바, 제주소바"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요, 매장이 청결해요"
