"관광타입","음식점"
"음식점명","7번가피자 서귀점"
"개요","근본이 다른 7번가 피자 7가지 맛의 비밀은 첫 번째 비밀, 십여 가지 곡물 도우, 국내 최초 완전 밀봉 방식의 3단계 저온숙성 도우입니다. 두 번째 비밀, 보라색 곡물 도우의 마법, 기계가 아닌 손으로 만드는 전통방식 고수합니다. 세 번째 비밀은 뉴질랜드산 천일염, 도우 반죽에 사용되는 소금도 깨끗한 뉴질랜드산 천일염 사용합니다. 네 번째 비밀은 자연산 순수 치즈, 자연산 치즈만이 맛있는 피자를 만들 수 있다는 7번가의 생각입니다. 다섯 번째 비밀은 토마토소스로 엄선된 신선한 토마토를 원재료로 한 건강한 토마토소스입니다. 여섯 번째 비밀은 빙초산, 빙초산을 사용하지 않는 건강한 수제피클입니다. 일곱 번째 비밀은 파스타, 레스토랑처럼 팬에 조리 후, 오븐을 통과시키는 오븐 파스타입니다. 서귀포홈플러스, 서귀북초등학교, 서강파인힐5차, 주공5단지, 주공6단지, 서귀고등학교, 서귀포시청, 용순김밥, 정석이 인접해 있습니다."
"주소","제주 서귀포시 중앙로 199 서강파인힐5차 상가동16호"
"주소(도로명)","제주특별자치도 서귀포시 중앙로 199"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 285-3"
"대표번호","064-767-9277"
"영업시간","11:00-23:00"
"휴무일","없음"
"취급메뉴","새우파티 석쇠, 샘스테이크 석쇠"
"주차시설 유무","없음"
"리뷰키워드","없음"
