"관광타입","음식점"
"음식점명","스테이지 버거"
"개요","제주 핫플 성산 카페 수제 버거 맛집 스테이지하우스 버거샵입니다. 두툼한 패티와 매장에서 직접 구운 번으로 건강한 식재료, 기본에 충실한 조리로 맛은 기본, 영양까지 생각한 특색 있는 프리미엄 수제 버거입니다. 카이트 서핑 교육장으로 서핑, 수상 레저 즐기실 수 있으며 아기자기한 소품, 조명, 이국적인 인테리어로 사진 뷰 맛집입니다. 해외 온 듯한 분위기를 느껴보세요. 스테이지하우스 제주카이트서핑, 종달 타보카가 인접해 있습니다."
"주소","제주 제주시 구좌읍 해맞이해안로 2361"
"주소(도로명)","제주특별자치도 제주시 구좌읍 해맞이해안로 2361"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 종달리 611"
"대표번호","064-782-5114"
"영업시간","10:00 - 19:30"
"휴무일","없음"
"취급메뉴","스테이지 베이컨치즈 버거, 스파이스 치킨 버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 특별한 메뉴가 있어요, 주차하기 편해요"
