"관광타입","음식점"
"음식점명","삼원정 중문본점"
"개요","서귀포 수협에서 유일하게 생갈치만을 공급받는 삼원정 입니다. 제주 3대 갈치 집만의 자부심입니다. 한결같은 맛과 서비스로 모시고 있으니 지금껏 맛보지 못한 제주 생갈치 드시러 꼭 옵서예. 고객님의 사랑으로 삼원정이 변하지 않은 맛과 서비스를 위해 2018년 9월 새롭게 이전 오픈 하였습니다. 예전 가게 자리에서 도보 100미터 거리에 있습니다. 중문관광단지, 빌라비하우스펜션, 아루미호텔이 인접해 있습니다."
"주소","제주 서귀포시 색달중앙로 44"
"주소(도로명)","제주특별자치도 서귀포시 색달중앙로 44"
"주소(지번주소)","제주특별자치도 서귀포시 색달동 2285-7"
"대표번호","0507-1415-1077"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","해물 통갈치 조림, 통갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 주차하기 편해요, 특별한 메뉴가 있어요"
