"관광타입","음식점"
"음식점명","크리스피201 금능협재점"
"개요","일몰이 아름다운 제주 서쪽, 제주에서 가장 아름다운 금능해수욕장 앞에 위치한 크리스피 201의 메뉴를 소개합니다. 1. 크리스피 치킨입니다. 크리스피 치킨은 크리스피 201의 대표 메뉴로 바삭한 식감과 더불어 이국적인 치킨 맛을 경험하실 수 있습니다. 2. 크리스피 치킨버거입니다. 퀄리티 만점, 오리엔탈풍의 치킨과 소스의 절묘한 조합의 치킨 수제 버거입니다. 3. 락앤롤 미트 버거, 100퍼센트 소고기 패티에 맛과 퀄리티 있는 진심 미트 버거입니다. 수입 맥주와 와인, 고급 소주 취향별로 드실 수 있도록 다양하게 준비했습니다. 록 음악도 함께 즐겨보세요. CU 제주금능길점, 금능서시가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 201"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 201"
"주소(지번주소)","제주특별자치도 제주시 한림읍 금능리 1297-3"
"대표번호","0507-1365-2041"
"영업시간","18:00 - 03:00"
"휴무일","없음"
"취급메뉴","락앤롤 미트버거, 크리스피 치킨버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요, 양이 많아요"
