"관광타입","음식점"
"음식점명","너야말로진정회"
"개요","하루 10박스 한정으로 판매되며, 빠르게 예약되오니 전화 예약 필수 입니다. 서귀포 시내권 모든 호텔 및 리조트 배달로도 받아보실 수 있습니다. 전화 필수 입니다. 환경에도 좋고 사진 찍기도 좋은 이쁜 종이 박스에 담겨 포장됩니다. 아름다운 제주 바다를 배경 삼아 즐기기에도 좋고, 숙소에서 화이트 와인과 함께 즐겨도 너무 좋은 진심이 담긴 너야말로 진정회  진정회 입니다. 박스에는 생선회, 해산물이 약 10가지 들어가며, 계절에 따라 자연산 회에는 고등어, 돌돔, 벵에돔 등 고급 어종을 담습니다. 기상이 좋지 않은 날엔 구성이 적을 수도 있어요. 그럼 다른 걸로 많이 듬뿍 담아드릴게요. 모든 어종은 특별한 이케지메 즉살법과 츠모토식 피 빼기 작업으로 물고기가 스트레스 받지 않도록 최상의 선도를 유지한 상태로 숙성하여 내어드립니다. 비리지 않고 감칠맛 도는 생선 회를 드셔보세요. 진정회 연어야 메뉴는 제일 큰 생 연어를 직접 공수하여, 다시마와 정종으로 숙성을 한 곤부즈메 숙성법을 사용하여, 더욱 감칠맛이 도는 진정회만의 연어회를 드실 수 있습니다.  제주를 한가득 담아낸 회박스, 너야말로 진정회에서만 즐길 수 있습니다. 고객님 한 분 한 분 방문과 성원에 감사드립니다. 스프링힐제주 입구, 까망흑염소, 해숙농수산물, 농협이 인접해 있습니다."
"주소","제주 서귀포시 천제연로 295 102호"
"주소(도로명)","제주특별자치도 서귀포시 천제연로 295"
"주소(지번주소)","제주특별자치도 서귀포시 대포동 724-1"
"대표번호","0507-1439-7104"
"영업시간","16:00 - 23:50"
"휴무일","없음"
"취급메뉴","실속모듬회, 고등어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
