"관광타입","음식점"
"음식점명","심야식당"
"개요","제주도 서귀포 범섬 근처에 있는 숙성회 전문 심야식당입니다. 심야식당은 오로시 작업부터, 사시미 숙성까지 직접 하고 있습니다. 심야식당표 숙성회는 생선의 피를 완벽하게 뺀 뒤, 정확한 온도에서 숙성 보관하고 있습니다. 고기를 숙성하면 마블링이 눈꽃처럼 퍼지며 부드러워지듯, 심야식당의 숙성회는 부드러우면서 감칠맛이 나는 것이 특징입니다. 올래 7코스 부근에 위치하며, 오후 5시부터 새벽 2시까지 부담없이 식사와 안주, 술, 음악을 즐기실 수 있습니다. 일식 요리 경력 16년 쉐프의 제주 자연을 그대로 담은 정직한 요리를 제주의 밤과 함께 만끽해보세요. 근거리 법환동, 강정동 인근 배달 가능, 포장 가능 합니다. 세븐일레븐, 법환초등학교가 인접해 있습니다."
"주소","제주 서귀포시 월드컵로 157"
"주소(도로명)","제주특별자치도 서귀포시 월드컵로 157"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 595-7"
"대표번호","064-738-4572"
"영업시간","18:00 - 24:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","나가사끼 짬뽕 전골, 한마리 문어튀김"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 양이 많아요"
