"관광타입","음식점"
"음식점명","귤품은흑돼지 제주공항점"
"개요","숙성된 고급흑돼지를 사용하는 귤품은 흑돼지입니다. 김치찌개 공기밥 계란찜 등이 모두 포함되어 맛있고 가성비가 높아요. 최고급 1등급 흑돼지를 숙성하여 아주 뛰어난 맛과 부드러움을 느끼실 수 있습니다. 흑돼지 무한리필은 최고급 흑돼지를 가격 부담 없이 원하는 만큼 드실 수 있습니다. 흑돼지 무한리필은 오겹살, 목살,  앞다리살, 소세지 등 다양한 음식이 제공됩니다. 탐라는집, 블루파크시티가 인접해 있습니다."
"주소","제주 제주시 도두항서길 42 2층"
"주소(도로명)","제주특별자치도 제주시 도두항서길 42"
"주소(지번주소)","제주특별자치도 제주시 도두일동 2613-1"
"대표번호","010-2327-4690"
"영업시간","13:00/17:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑돼지 오겹살, 제주흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 가성비가 좋아요, 친절해요, 양이 많아요"
