"관광타입","음식점"
"음식점명","우화"
"개요","안녕하세요. 서귀포 신시가지에 위치해 있는 노을 맛집 한우 전문점 우화입니다. 특별한 날, 저희 우화에서 토종한우 원플러스, 투플러스 등급를 여유롭게 느껴보세요. 연말모임 우화에서 특별하게 즐겨보세요. 연말 예약받습니다. 항상 최고의 청결과 친절, 맛을 준비하도록 노력하겠습니다. 점심시간 4명 이상 예약 가능 and wine corkage fee free. 염돈주유소가 인접해 있습니다."
"주소","제주 서귀포시 염돈로28번길 25 1층"
"주소(도로명)","제주특별자치도 서귀포시 염돈로28번길 25"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 1999"
"대표번호","0507-1472-4015"
"영업시간","17:30 - 22:00"
"휴무일","격주 화요일"
"취급메뉴","토종한우모듬, 토종한우 스폐셜등심"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 뷰가 좋아요"
