"관광타입","음식점"
"음식점명","37레스토랑 "
"개요","기존에 많은 사랑을 받았던 파스타 3종과 함박스테이크 정식을 즐길 수 있는 메뉴구성으로 돌아왔습니다. 변경된 메뉴를 확인하시어 착오없으시길 바라며 언제나 한결같은 마음으로 서비스하겠습니다. 37레스토랑은 서귀포 위미 동백군락지에서 시작하여 1년간 많은 사랑을 받았습니다. 제주 돌집을 개조하여 운영하였으나 구옥의 단점으로 손님들께 원활한 서비스와 맛을 제공 드리기 어렵다고 판단하여 서귀포 시내로 확장 이전하였습니다. 매장 이전을 통해 보다 넓고 편안한 공간, 신선하고 다양한 메뉴들로 가득 채웠습니다. 1년간 많이 찾아주신 머둘 문어파스타, 흑돼지 미트볼 크레마 파스타와 새로운 공간에서 준비한 다양한 파스타와 스페셜 메뉴들로 일상 속에 특별함을 드리고자 합니다. 서귀포청사, 서귀포 중앙로타리가 인접해 있습니다. "
"주소","제주 서귀포시 홍중로 23 1층"
"주소(도로명)","제주특별자치도 서귀포시 홍중로 23"
"주소(지번주소)","제주특별자치도 서귀포시 서홍동 377-11"
"대표번호","064-732-0590"
"영업시간","11:10 - 17:00"
"휴무일","매주 토요일, 일요일"
"취급메뉴","통베이컨 함박스테이크, 더블치즈 함박스테이크"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 가성비가 좋아요, 특별한 메뉴가 있어요"
