"관광타입","음식점"
"음식점명","임금님밥상"
"개요","아침마다 신선한 재료로 반찬을 준비하고, 사위가 직접잡은 제주산 생선만 사용하고 있는 제주생선구이 전문점 입니다. 제주공항근처맛집, 임금님밥상입니다. 기본반찬 9가지 이상 매일 매일 제철 채소를 이용해 반찬을 만들고 있으며, 항상 고객님들의 의견을 반영해 더 대중적인 맛으로 보답하기 위해 노력하고 있습니다. 임금님밥상은 아이를 동반한 가족손님이 많기 때문에, 우리 아이들의 건강을 위해 더 신경쓰면서 항상 위생적으로 최선을 다해 조리하고 있다는 자부심 있는 식당입니다. 집밥보다 더 집밥같은 식사를 대접하기 위해 더욱 더 노력하는 임금님밥상이 되겠습니다. 감사합니다. 국밥, CU가 인접해 있습니다."
"주소","제주 제주시 오광로 128"
"주소(도로명)","제주특별자치도 제주시 오광로 128"
"주소(지번주소)","제주특별자치도 제주시 노형동 3742"
"대표번호","064-747-2798"
"영업시간","08:30~15:00"
"휴무일","둘째, 넷째 수요일"
"취급메뉴","생선구이백반, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 반찬이 잘 나와요, 주차하기 편해요, 매장이 넓어요"
