"관광타입","음식점"
"음식점명","제주본참숯불갈비"
"개요","제주 노형동에 위치한 제주도민 맛집 입니다. 맛있는 흑돼지, 갈비 드시러 오세요. 예약시 해물된장찌개 서비스 입니다. 본 돼지양념갈비, 흑오겹살이 인기 메뉴입니다. 돼지갈비는 두툼한 고기와 특제 양념의 맛을 느낄 수 있습니다. 정갈한 한정식 스타일의 상차림과 직화를 이용한 참숯에 고기의 육즙을 잘 살려주는 구리 석쇠를 사용함으로써 최상의 맛을 선보입니다. 언제나 신선한 재료만을 선별하여 모든 음식에 정성을 다하며 보다 편안하고 쾌적한 분위기에서 식사를 즐기실 수 있도록 준비하고 있습니다. 제주본참숯불갈비는 고객님께 최상의 맛과 품질의 서비스를 제공하겠습니다. 고객 한분 한분께 정성을 다할 것을 약속드립니다. 다양한 이벤트와 맛있는 식사를 제공하기 위해 항상 노력하는 제주본참숯갈비가 되겠습니다. 감사합니다. 제주닭집, CU가 인접해 있습니다."
"주소","제주 제주시 원노형남1길 31"
"주소(도로명)","제주특별자치도 제주시 원노형남1길 31"
"주소(지번주소)","제주특별자치도 제주시 노형동 933-17"
"대표번호","0507-1305-1705"
"영업시간","16:00~23:00"
"휴무일","전화문의"
"취급메뉴","흑오겹살, 생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 단체모임 하기 좋아요"
