"관광타입","음식점"
"음식점명","아라파파"
"개요","제주를 대표하는 베이커리 카페 아라파파입니다. 천천히, 한가로이라는 슬로건의 아라파파의 슬로우푸드 빵과 구움과자, 그리고 시그니처 메뉴인 홍차밀크잼은 환상적인 궁합을 자랑합니다. 12월에는 크리스마스 전통빵 슈톨렌을 특별히 준비합니다. 모든 방문고객님들께 만족할 수 있는 감동을 주는 아라파파가 되려 늘 노력하고 있습니다. 찾아주셔서 감사합니다. 보롬, 세븐일레븐이 인접해 있습니다."
"주소","제주 제주시 국기로3길 2 1층 아라파파"
"주소(도로명)","제주특별자치도 제주시 국기로3길 2"
"주소(지번주소)","제주특별자치도 제주시 연동 1523"
"대표번호","064-725-8204"
"영업시간","08:00 - 22:00"
"휴무일","없음"
"취급메뉴","진짜제주소금빵, 홍차 밀크잼"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요, 커피가 맛있어요"
